LABEL,LEGEND_TEXT,LEGEND_SUPPRESS,TITLE_TEXT,TITLE_SUPPRESS,COLOR,ALPHA,FILL_ALPHA,LINESTYLE,LINEWIDTH,MARKER,SIZE
Decoupling,Decoupling,FALSE,Decoupling,FALSE,g,0.05,0.05,solid,1,.,2
unmet_demand,Unmet Demand,FALSE,Unmet Demand,FALSE,g,1,1,solid,0.5,.,2
A,Commodity A,FALSE,Commodity A,FALSE,r,0.05,0.05,solid,0.5,.,2
B,Commodity B,FALSE,Commodity B,FALSE,b,0.05,0.05,solid,0.5,.,2
C,Commodity C,FALSE,Commodity C,FALSE,g,0.05,0.05,solid,0.5,.,2
D,Commodity D,FALSE,Commodity D,FALSE,m,0.05,0.05,solid,0.5,.,2
Existing Mines,Existing Mines,FALSE,Existing Mines,FALSE,g,0.05,1,solid,0.5,.,2
Existing Mines with defined start year,Existing Mines,FALSE,Existing Mines,FALSE,g,0.05,1,solid,0.5,.,2
Identified Resources,Known Deposits,FALSE,Known Deposits,FALSE,y,0.05,1,solid,0.5,.,2
Identified Resources with defined start year,Known Deposits,FALSE,Known Deposits,FALSE,y,0.05,1,solid,0.5,.,2
Greenfield - Demanded,Undiscovered Deposits,FALSE,Undiscovered Deposits,FALSE,gray,0.05,1,solid,0.5,.,2
Greenfield - Background,Undiscovered Deposits,FALSE,Undiscovered Deposits,FALSE,gray,1,1,solid,0.5,.,2
deposits_discovered_ore_mass,Ore Discovered,FALSE,Ore Discovered,FALSE,black,1,1,solid,0.5,.,2
production_ore_mass,Ore Mined,FALSE,Ore Mined,FALSE,black,1,1,solid,0.5,.,2
deposits_discovered_count Decoupling,Decoupling,FALSE,Decoupling,FALSE,g,0.05,0.05,solid,0.5,.,2
deposits_discovered_count Low Growth,Low Growth,FALSE,Low Growth,FALSE,b,0.05,0.05,solid,0.5,.,2
deposits_discovered_count High Growth,High Growth,FALSE,High Growth,FALSE,r,0.05,0.05,solid,0.5,.,2
deposits_discovered_count Decoupling ALL,Deposits Discovered (No.),FALSE,Decoupling,FALSE,g,1,1,solid,1,.,2
deposits_discovered_count Low Growth ALL,Deposits Discovered (No.),FALSE,Low Growth,FALSE,b,1,1,solid,1,.,2
deposits_discovered_count High Growth ALL,Deposits Discovered (No.),FALSE,High Growth,FALSE,r,1,1,solid,1,.,2
deposits_discovered_count,Deposits Discovered,FALSE,Deposits Discovered,FALSE,black,1,1,solid,1,.,2
Decoupling deposits_discovered_count,Decoupling deposits_discovered_count,FALSE,Deposits Discovered,FALSE,g,1,1,solid,1,.,2
Low Growth deposits_discovered_count,Low Growth deposits_discovered_count,FALSE,Deposits Discovered,FALSE,b,1,1,solid,1,.,2
High Growth deposits_discovered_count,High Growth deposits_discovered_count,FALSE,Deposits Discovered,FALSE,r,1,1,solid,1,.,2
mines_producing_count Decoupling,Decoupling,FALSE,Decoupling,FALSE,g,0.05,0.05,solid,0.5,.,2
mines_producing_count Low Growth,Low Growth,FALSE,Low Growth,FALSE,b,0.05,0.05,solid,0.5,.,2
mines_producing_count High Growth,High Growth,FALSE,High Growth,FALSE,r,0.05,0.05,solid,0.5,.,2
mines_producing_count Decoupling ALL,Mines Producing (No.),FALSE,Decoupling,FALSE,g,1,1,solid,1,.,2
mines_producing_count Low Growth ALL,Mines Producing (No.),FALSE,Low Growth,FALSE,b,1,1,solid,1,.,2
mines_producing_count High Growth ALL,Mines Producing (No.),FALSE,High Growth,FALSE,r,1,1,solid,1,.,2
Decoupling mines_producing_count,Decoupling mines_producing_count,FALSE,Mines Producing,FALSE,g,1,1,solid,1,.,2
Low Growth mines_producing_count,Low Growth mines_producing_count,FALSE,Mines Producing,FALSE,b,1,1,solid,1,.,2
High Growth mines_producing_count,High Growth mines_producing_count,FALSE,Mines Producing,FALSE,r,1,1,solid,1,.,2
mines_started_count,Mines Commencing,FALSE,Mines Commencing,FALSE,g,0.05,0.1,solid,0.5,.,2
mines_ended_count,Mines Ending,FALSE,Mines Ending,FALSE,r,0.05,0.1,solid,0.5,.,2
mines_care_maintenance_count,Mines in Care and Maintenance,FALSE,Mines in Care and Maintenance,FALSE,y,0.05,0.1,solid,0.5,.,2
mines_producing_count,Mines Producing,FALSE,Mines Producing,FALSE,gray,0.05,0.1,solid,0.5,.,2
A production_commodity,Production of A,FALSE,Production of A,FALSE,black,1,1,solid,1,.,2
B production_commodity,Production of B,FALSE,Production of B,FALSE,black,1,1,solid,1,.,2
C production_commodity,Production of C,FALSE,Production of C,FALSE,black,1,1,solid,1,.,2
D production_commodity,Production of D,FALSE,Production of D,FALSE,black,1,1,solid,1,.,2
A unmet_demand,Unmet Demand for A,FALSE,Unmet Demand for A,FALSE,black,1,1,solid,1,.,2
B unmet_demand,Unmet Demand for B,FALSE,Unmet Demand for B,FALSE,black,1,1,solid,1,.,2
C unmet_demand,Unmet Demand for C,FALSE,Unmet Demand for C,FALSE,black,1,1,solid,1,.,2
D unmet_demand,Unmet Demand for D,FALSE,Unmet Demand for D,FALSE,black,1,1,solid,1,.,2
production_ore_mass Decoupling,Ore Mined (kilotonnes per year),FALSE,Decoupling,FALSE,g,1,1,solid,1,.,2
production_ore_mass Low Growth,Ore Mined (kilotonnes per year),FALSE,Low Growth,FALSE,b,1,1,solid,1,.,2
production_ore_mass High Growth,Ore Mined (kilotonnes per year),FALSE,High Growth,FALSE,r,1,1,solid,1,.,2
production_ore_mass Decoupling ALL,Ore Mined (kilotonnes per year),FALSE,Decoupling,FALSE,g,1,1,solid,1,.,2
production_ore_mass Low Growth ALL,Ore Mined (kilotonnes per year),FALSE,Low Growth,FALSE,b,1,1,solid,1,.,2
production_ore_mass High Growth ALL,Ore Mined (kilotonnes per year),FALSE,High Growth,FALSE,r,1,1,solid,1,.,2
production_ore_content,Mined Ore Content,FALSE,Mined Ore Content,FALSE,black,1,1,solid,1,.,2
production_intermediate,Mine Production,FALSE,Mine Production,FALSE,black,1,1,solid,1,.,2
production_commodity,Commodity Production,FALSE,Commodity Production,FALSE,black,1,1,solid,1,.,2
losses_mine,Mine Losses,FALSE,Mine Losses,FALSE,black,1,1,solid,1,.,2
losses_intermediate,Refinery Losses,FALSE,Refinery Losses,FALSE,black,1,1,solid,1,.,2
losses_commodity,Total Losses,FALSE,Total Losses,FALSE,black,1,1,solid,1,.,2
A 0,Production of A | Iteration 0,FALSE,Production of A | Iteration 0,FALSE,black,1,1,solid,1,.,2
A 1,Production of A | Iteration 1,FALSE,Production of A | Iteration 1,FALSE,black,1,1,solid,1,.,2
A 2,Production of A | Iteration 2,FALSE,Production of A | Iteration 2,FALSE,black,1,1,solid,1,.,2
A 3,Production of A | Iteration 3,FALSE,Production of A | Iteration 3,FALSE,black,1,1,solid,1,.,2
B 0,Production of B | Iteration 0,FALSE,Production of B | Iteration 0,FALSE,black,1,1,solid,1,.,2
B 1,Production of B | Iteration 1,FALSE,Production of B | Iteration 1,FALSE,black,1,1,solid,1,.,2
B 2,Production of B | Iteration 2,FALSE,Production of B | Iteration 2,FALSE,black,1,1,solid,1,.,2
B 3,Production of B | Iteration 3,FALSE,Production of B | Iteration 3,FALSE,black,1,1,solid,1,.,2
C 0,Production of C | Iteration 0,FALSE,Production of C | Iteration 0,FALSE,black,1,1,solid,1,.,2
C 1,Production of C | Iteration 1,FALSE,Production of C | Iteration 1,FALSE,black,1,1,solid,1,.,2
C 2,Production of C | Iteration 2,FALSE,Production of C | Iteration 2,FALSE,black,1,1,solid,1,.,2
C 3,Production of C | Iteration 3,FALSE,Production of C | Iteration 3,FALSE,black,1,1,solid,1,.,2
D 0,Production of D | Iteration 0,FALSE,Production of D | Iteration 0,FALSE,black,1,1,solid,1,.,2
D 1,Production of D | Iteration 1,FALSE,Production of D | Iteration 1,FALSE,black,1,1,solid,1,.,2
D 2,Production of D | Iteration 2,FALSE,Production of D | Iteration 2,FALSE,black,1,1,solid,1,.,2
D 3,Production of D | Iteration 3,FALSE,Production of D | Iteration 3,FALSE,black,1,1,solid,1,.,2
High Growth - Exploration Background Only,High Growth | Exploration Background Only,FALSE,High Growth - Exploration Background Only,FALSE,gold,0.05,0.05,solid,1,.,2
High Growth - Exploration Off,High Growth | Exploration Off,FALSE,High Growth - Exploration Off,FALSE,gray,0.05,0.05,solid,1,.,2
High Growth - Priority Active Off,High Growth | Priority Active Off,FALSE,High Growth - Priority Active Off,FALSE,b,0.05,0.05,solid,1,.,2
High Growth - Update Values On,High Growth | Update Values On,FALSE,High Growth - Update Values On,FALSE,g,0.05,0.05,solid,1,.,2
A High Growth,Commodity A | High Growth,FALSE,Commodity A | High Growth,FALSE,r,0.05,0.05,solid,1,.,2
A High Growth - Exploration Background Only,Commodity A | High Growth | Exploration Background Only,FALSE,Commodity A | High Growth | Exploration Background Only,FALSE,gold,0.05,0.05,solid,1,.,2
A High Growth - Exploration Off,Commodity A | High Growth | Exploration Off,FALSE,Commodity A | High Growth | Exploration Off,FALSE,gray,0.05,0.05,solid,1,.,2
A High Growth - Priority Active Off,Commodity A | High Growth | Priority Active Off,FALSE,Commodity A | High Growth | Priority Active Off,FALSE,b,0.05,0.05,solid,1,.,2
A High Growth - Update Values On,Commodity A | High Growth | Update Values On,FALSE,Commodity A | High Growth | Update Values On,FALSE,g,0.05,0.05,solid,1,.,2
B High Growth,Commodity B | High Growth,FALSE,Commodity B | High Growth,FALSE,r,0.05,0.05,solid,1,.,2
B High Growth - Exploration Background Only,Commodity B | High Growth | Exploration Background Only,FALSE,Commodity B | High Growth | Exploration Background Only,FALSE,gold,0.05,0.05,solid,1,.,2
B High Growth - Exploration Off,Commodity B | High Growth | Exploration Off,FALSE,Commodity B | High Growth | Exploration Off,FALSE,gray,0.05,0.05,solid,1,.,2
B High Growth - Priority Active Off,Commodity B | High Growth | Priority Active Off,FALSE,Commodity B | High Growth | Priority Active Off,FALSE,b,0.05,0.05,solid,1,.,2
B High Growth - Update Values On,Commodity B | High Growth | Update Values On,FALSE,Commodity B | High Growth | Update Values On,FALSE,g,0.05,0.05,solid,1,.,2
C High Growth,Commodity C | High Growth,FALSE,Commodity C | High Growth,FALSE,r,0.05,0.05,solid,1,.,2
C High Growth - Exploration Background Only,Commodity C | High Growth | Exploration Background Only,FALSE,Commodity C | High Growth | Exploration Background Only,FALSE,gold,0.05,0.05,solid,1,.,2
C High Growth - Exploration Off,Commodity C | High Growth | Exploration Off,FALSE,Commodity C | High Growth | Exploration Off,FALSE,gray,0.05,0.05,solid,1,.,2
C High Growth - Priority Active Off,Commodity C | High Growth | Priority Active Off,FALSE,Commodity C | High Growth | Priority Active Off,FALSE,b,0.05,0.05,solid,1,.,2
C High Growth - Update Values On,Commodity C | High Growth | Update Values On,FALSE,Commodity C | High Growth | Update Values On,FALSE,g,0.05,0.05,solid,1,.,2
D High Growth,Commodity D | High Growth,FALSE,Commodity D | High Growth,FALSE,r,0.05,0.05,solid,1,.,2
D High Growth - Exploration Background Only,Commodity D | High Growth | Exploration Background Only,FALSE,Commodity D | High Growth | Exploration Background Only,FALSE,gold,0.05,0.05,solid,1,.,2
D High Growth - Exploration Off,Commodity D | High Growth | Exploration Off,FALSE,Commodity D | High Growth | Exploration Off,FALSE,gray,0.05,0.05,solid,1,.,2
D High Growth - Priority Active Off,Commodity D | High Growth | Priority Active Off,FALSE,Commodity D | High Growth | Priority Active Off,FALSE,b,0.05,0.05,solid,1,.,2
D High Growth - Update Values On,Commodity D | High Growth | Update Values On,FALSE,Commodity D | High Growth | Update Values On,FALSE,g,0.05,0.05,solid,1,.,2
Decoupling 0,Decoupling | Iteration 0,FALSE,Decoupling | Iteration 0,FALSE,black,1,1,solid,1,.,2
Decoupling 1,Decoupling | Iteration 1,FALSE,Decoupling | Iteration 1,FALSE,black,1,1,solid,1,.,2
Decoupling 2,Decoupling | Iteration 2,FALSE,Decoupling | Iteration 2,FALSE,black,1,1,solid,1,.,2
High Growth 0,High Growth | Iteration 0,FALSE,High Growth | Iteration 0,FALSE,black,1,1,solid,1,.,2
High Growth 1,High Growth | Iteration 1,FALSE,High Growth | Iteration 1,FALSE,black,1,1,solid,1,.,2
High Growth 2,High Growth | Iteration 2,FALSE,High Growth | Iteration 2,FALSE,black,1,1,solid,1,.,2
Low Growth 0,Low Growth | Iteration 0,FALSE,Low Growth | Iteration 0,FALSE,black,1,1,solid,1,.,2
Low Growth 1,Low Growth | Iteration 1,FALSE,Low Growth | Iteration 1,FALSE,black,1,1,solid,1,.,2
Low Growth 2,Low Growth | Iteration 2,FALSE,Low Growth | Iteration 2,FALSE,black,1,1,solid,1,.,2
0,Iteration 0,FALSE,Iteration 0,FALSE,r,1,1,solid,1,.,2
1,Iteration 1,FALSE,Iteration 1,FALSE,b,1,1,solid,1,.,2
2,Iteration 2,FALSE,Iteration 2,FALSE,g,1,1,solid,1,.,2
3,Iteration 3,FALSE,Iteration 3,FALSE,y,1,1,solid,1,.,2
4,Iteration 4,FALSE,Iteration 4,FALSE,gray,1,1,solid,1,.,2
5,Iteration 5,FALSE,Iteration 5,FALSE,black,1,1,solid,1,.,2
6,Iteration 6,FALSE,Iteration 6,FALSE,black,1,1,solid,1,.,2
7,Iteration 7,FALSE,Iteration 7,FALSE,black,1,1,solid,1,.,2
8,Iteration 8,FALSE,Iteration 8,FALSE,black,1,1,solid,1,.,2
9,Iteration 9,FALSE,Iteration 9,FALSE,black,1,1,solid,1,.,2
10,Iteration 10,FALSE,Iteration 10,FALSE,black,1,1,solid,1,.,2
11,Iteration 11,FALSE,Iteration 11,FALSE,black,1,1,solid,1,.,2
12,Iteration 12,FALSE,Iteration 12,FALSE,black,1,1,solid,1,.,2
13,Iteration 13,FALSE,Iteration 13,FALSE,black,1,1,solid,1,.,2
14,Iteration 14,FALSE,Iteration 14,FALSE,black,1,1,solid,1,.,2
15,Iteration 15,FALSE,Iteration 15,FALSE,black,1,1,solid,1,.,2
16,Iteration 16,FALSE,Iteration 16,FALSE,black,1,1,solid,1,.,2
17,Iteration 17,FALSE,Iteration 17,FALSE,black,1,1,solid,1,.,2
18,Iteration 18,FALSE,Iteration 18,FALSE,black,1,1,solid,1,.,2
19,Iteration 19,FALSE,Iteration 19,FALSE,black,1,1,solid,1,.,2
20,Iteration 20,FALSE,Iteration 20,FALSE,black,1,1,solid,1,.,2
21,Iteration 21,FALSE,Iteration 21,FALSE,black,1,1,solid,1,.,2
22,Iteration 22,FALSE,Iteration 22,FALSE,black,1,1,solid,1,.,2
23,Iteration 23,FALSE,Iteration 23,FALSE,black,1,1,solid,1,.,2
24,Iteration 24,FALSE,Iteration 24,FALSE,black,1,1,solid,1,.,2
25,Iteration 25,FALSE,Iteration 25,FALSE,black,1,1,solid,1,.,2
26,Iteration 26,FALSE,Iteration 26,FALSE,black,1,1,solid,1,.,2
27,Iteration 27,FALSE,Iteration 27,FALSE,black,1,1,solid,1,.,2
28,Iteration 28,FALSE,Iteration 28,FALSE,black,1,1,solid,1,.,2
29,Iteration 29,FALSE,Iteration 29,FALSE,black,1,1,solid,1,.,2
30,Iteration 30,FALSE,Iteration 30,FALSE,black,1,1,solid,1,.,2
31,Iteration 31,FALSE,Iteration 31,FALSE,black,1,1,solid,1,.,2
32,Iteration 32,FALSE,Iteration 32,FALSE,black,1,1,solid,1,.,2
33,Iteration 33,FALSE,Iteration 33,FALSE,black,1,1,solid,1,.,2
34,Iteration 34,FALSE,Iteration 34,FALSE,black,1,1,solid,1,.,2
35,Iteration 35,FALSE,Iteration 35,FALSE,black,1,1,solid,1,.,2
36,Iteration 36,FALSE,Iteration 36,FALSE,black,1,1,solid,1,.,2
37,Iteration 37,FALSE,Iteration 37,FALSE,black,1,1,solid,1,.,2
38,Iteration 38,FALSE,Iteration 38,FALSE,black,1,1,solid,1,.,2
39,Iteration 39,FALSE,Iteration 39,FALSE,black,1,1,solid,1,.,2
40,Iteration 40,FALSE,Iteration 40,FALSE,black,1,1,solid,1,.,2
41,Iteration 41,FALSE,Iteration 41,FALSE,black,1,1,solid,1,.,2
42,Iteration 42,FALSE,Iteration 42,FALSE,black,1,1,solid,1,.,2
43,Iteration 43,FALSE,Iteration 43,FALSE,black,1,1,solid,1,.,2
44,Iteration 44,FALSE,Iteration 44,FALSE,black,1,1,solid,1,.,2
45,Iteration 45,FALSE,Iteration 45,FALSE,black,1,1,solid,1,.,2
46,Iteration 46,FALSE,Iteration 46,FALSE,black,1,1,solid,1,.,2
47,Iteration 47,FALSE,Iteration 47,FALSE,black,1,1,solid,1,.,2
48,Iteration 48,FALSE,Iteration 48,FALSE,black,1,1,solid,1,.,2
49,Iteration 49,FALSE,Iteration 49,FALSE,black,1,1,solid,1,.,2
50,Iteration 50,FALSE,Iteration 50,FALSE,black,1,1,solid,1,.,2
51,Iteration 51,FALSE,Iteration 51,FALSE,black,1,1,solid,1,.,2
52,Iteration 52,FALSE,Iteration 52,FALSE,black,1,1,solid,1,.,2
53,Iteration 53,FALSE,Iteration 53,FALSE,black,1,1,solid,1,.,2
54,Iteration 54,FALSE,Iteration 54,FALSE,black,1,1,solid,1,.,2
55,Iteration 55,FALSE,Iteration 55,FALSE,black,1,1,solid,1,.,2
56,Iteration 56,FALSE,Iteration 56,FALSE,black,1,1,solid,1,.,2
57,Iteration 57,FALSE,Iteration 57,FALSE,black,1,1,solid,1,.,2
58,Iteration 58,FALSE,Iteration 58,FALSE,black,1,1,solid,1,.,2
59,Iteration 59,FALSE,Iteration 59,FALSE,black,1,1,solid,1,.,2
60,Iteration 60,FALSE,Iteration 60,FALSE,black,1,1,solid,1,.,2
61,Iteration 61,FALSE,Iteration 61,FALSE,black,1,1,solid,1,.,2
62,Iteration 62,FALSE,Iteration 62,FALSE,black,1,1,solid,1,.,2
63,Iteration 63,FALSE,Iteration 63,FALSE,black,1,1,solid,1,.,2
64,Iteration 64,FALSE,Iteration 64,FALSE,black,1,1,solid,1,.,2
65,Iteration 65,FALSE,Iteration 65,FALSE,black,1,1,solid,1,.,2
66,Iteration 66,FALSE,Iteration 66,FALSE,black,1,1,solid,1,.,2
67,Iteration 67,FALSE,Iteration 67,FALSE,black,1,1,solid,1,.,2
68,Iteration 68,FALSE,Iteration 68,FALSE,black,1,1,solid,1,.,2
69,Iteration 69,FALSE,Iteration 69,FALSE,black,1,1,solid,1,.,2
70,Iteration 70,FALSE,Iteration 70,FALSE,black,1,1,solid,1,.,2
71,Iteration 71,FALSE,Iteration 71,FALSE,black,1,1,solid,1,.,2
72,Iteration 72,FALSE,Iteration 72,FALSE,black,1,1,solid,1,.,2
73,Iteration 73,FALSE,Iteration 73,FALSE,black,1,1,solid,1,.,2
74,Iteration 74,FALSE,Iteration 74,FALSE,black,1,1,solid,1,.,2
75,Iteration 75,FALSE,Iteration 75,FALSE,black,1,1,solid,1,.,2
76,Iteration 76,FALSE,Iteration 76,FALSE,black,1,1,solid,1,.,2
77,Iteration 77,FALSE,Iteration 77,FALSE,black,1,1,solid,1,.,2
78,Iteration 78,FALSE,Iteration 78,FALSE,black,1,1,solid,1,.,2
79,Iteration 79,FALSE,Iteration 79,FALSE,black,1,1,solid,1,.,2
80,Iteration 80,FALSE,Iteration 80,FALSE,black,1,1,solid,1,.,2
81,Iteration 81,FALSE,Iteration 81,FALSE,black,1,1,solid,1,.,2
82,Iteration 82,FALSE,Iteration 82,FALSE,black,1,1,solid,1,.,2
83,Iteration 83,FALSE,Iteration 83,FALSE,black,1,1,solid,1,.,2
84,Iteration 84,FALSE,Iteration 84,FALSE,black,1,1,solid,1,.,2
85,Iteration 85,FALSE,Iteration 85,FALSE,black,1,1,solid,1,.,2
86,Iteration 86,FALSE,Iteration 86,FALSE,black,1,1,solid,1,.,2
87,Iteration 87,FALSE,Iteration 87,FALSE,black,1,1,solid,1,.,2
88,Iteration 88,FALSE,Iteration 88,FALSE,black,1,1,solid,1,.,2
89,Iteration 89,FALSE,Iteration 89,FALSE,black,1,1,solid,1,.,2
90,Iteration 90,FALSE,Iteration 90,FALSE,black,1,1,solid,1,.,2
91,Iteration 91,FALSE,Iteration 91,FALSE,black,1,1,solid,1,.,2
92,Iteration 92,FALSE,Iteration 92,FALSE,black,1,1,solid,1,.,2
93,Iteration 93,FALSE,Iteration 93,FALSE,black,1,1,solid,1,.,2
94,Iteration 94,FALSE,Iteration 94,FALSE,black,1,1,solid,1,.,2
95,Iteration 95,FALSE,Iteration 95,FALSE,black,1,1,solid,1,.,2
96,Iteration 96,FALSE,Iteration 96,FALSE,black,1,1,solid,1,.,2
97,Iteration 97,FALSE,Iteration 97,FALSE,black,1,1,solid,1,.,2
98,Iteration 98,FALSE,Iteration 98,FALSE,black,1,1,solid,1,.,2
99,Iteration 99,FALSE,Iteration 99,FALSE,black,1,1,solid,1,.,2
100,Iteration 100,FALSE,Iteration 100,FALSE,black,1,1,solid,1,.,2
101,Iteration 101,FALSE,Iteration 101,FALSE,black,1,1,solid,1,.,2
102,Iteration 102,FALSE,Iteration 102,FALSE,black,1,1,solid,1,.,2
103,Iteration 103,FALSE,Iteration 103,FALSE,black,1,1,solid,1,.,2
104,Iteration 104,FALSE,Iteration 104,FALSE,black,1,1,solid,1,.,2
105,Iteration 105,FALSE,Iteration 105,FALSE,black,1,1,solid,1,.,2
106,Iteration 106,FALSE,Iteration 106,FALSE,black,1,1,solid,1,.,2
107,Iteration 107,FALSE,Iteration 107,FALSE,black,1,1,solid,1,.,2
108,Iteration 108,FALSE,Iteration 108,FALSE,black,1,1,solid,1,.,2
109,Iteration 109,FALSE,Iteration 109,FALSE,black,1,1,solid,1,.,2
110,Iteration 110,FALSE,Iteration 110,FALSE,black,1,1,solid,1,.,2
111,Iteration 111,FALSE,Iteration 111,FALSE,black,1,1,solid,1,.,2
112,Iteration 112,FALSE,Iteration 112,FALSE,black,1,1,solid,1,.,2
113,Iteration 113,FALSE,Iteration 113,FALSE,black,1,1,solid,1,.,2
114,Iteration 114,FALSE,Iteration 114,FALSE,black,1,1,solid,1,.,2
115,Iteration 115,FALSE,Iteration 115,FALSE,black,1,1,solid,1,.,2
116,Iteration 116,FALSE,Iteration 116,FALSE,black,1,1,solid,1,.,2
117,Iteration 117,FALSE,Iteration 117,FALSE,black,1,1,solid,1,.,2
118,Iteration 118,FALSE,Iteration 118,FALSE,black,1,1,solid,1,.,2
119,Iteration 119,FALSE,Iteration 119,FALSE,black,1,1,solid,1,.,2
120,Iteration 120,FALSE,Iteration 120,FALSE,black,1,1,solid,1,.,2
121,Iteration 121,FALSE,Iteration 121,FALSE,black,1,1,solid,1,.,2
122,Iteration 122,FALSE,Iteration 122,FALSE,black,1,1,solid,1,.,2
123,Iteration 123,FALSE,Iteration 123,FALSE,black,1,1,solid,1,.,2
124,Iteration 124,FALSE,Iteration 124,FALSE,black,1,1,solid,1,.,2
125,Iteration 125,FALSE,Iteration 125,FALSE,black,1,1,solid,1,.,2
126,Iteration 126,FALSE,Iteration 126,FALSE,black,1,1,solid,1,.,2
127,Iteration 127,FALSE,Iteration 127,FALSE,black,1,1,solid,1,.,2
128,Iteration 128,FALSE,Iteration 128,FALSE,black,1,1,solid,1,.,2
129,Iteration 129,FALSE,Iteration 129,FALSE,black,1,1,solid,1,.,2
130,Iteration 130,FALSE,Iteration 130,FALSE,black,1,1,solid,1,.,2
131,Iteration 131,FALSE,Iteration 131,FALSE,black,1,1,solid,1,.,2
132,Iteration 132,FALSE,Iteration 132,FALSE,black,1,1,solid,1,.,2
133,Iteration 133,FALSE,Iteration 133,FALSE,black,1,1,solid,1,.,2
134,Iteration 134,FALSE,Iteration 134,FALSE,black,1,1,solid,1,.,2
135,Iteration 135,FALSE,Iteration 135,FALSE,black,1,1,solid,1,.,2
136,Iteration 136,FALSE,Iteration 136,FALSE,black,1,1,solid,1,.,2
137,Iteration 137,FALSE,Iteration 137,FALSE,black,1,1,solid,1,.,2
138,Iteration 138,FALSE,Iteration 138,FALSE,black,1,1,solid,1,.,2
139,Iteration 139,FALSE,Iteration 139,FALSE,black,1,1,solid,1,.,2
140,Iteration 140,FALSE,Iteration 140,FALSE,black,1,1,solid,1,.,2
141,Iteration 141,FALSE,Iteration 141,FALSE,black,1,1,solid,1,.,2
142,Iteration 142,FALSE,Iteration 142,FALSE,black,1,1,solid,1,.,2
143,Iteration 143,FALSE,Iteration 143,FALSE,black,1,1,solid,1,.,2
144,Iteration 144,FALSE,Iteration 144,FALSE,black,1,1,solid,1,.,2
145,Iteration 145,FALSE,Iteration 145,FALSE,black,1,1,solid,1,.,2
146,Iteration 146,FALSE,Iteration 146,FALSE,black,1,1,solid,1,.,2
147,Iteration 147,FALSE,Iteration 147,FALSE,black,1,1,solid,1,.,2
148,Iteration 148,FALSE,Iteration 148,FALSE,black,1,1,solid,1,.,2
149,Iteration 149,FALSE,Iteration 149,FALSE,black,1,1,solid,1,.,2
150,Iteration 150,FALSE,Iteration 150,FALSE,black,1,1,solid,1,.,2
151,Iteration 151,FALSE,Iteration 151,FALSE,black,1,1,solid,1,.,2
152,Iteration 152,FALSE,Iteration 152,FALSE,black,1,1,solid,1,.,2
153,Iteration 153,FALSE,Iteration 153,FALSE,black,1,1,solid,1,.,2
154,Iteration 154,FALSE,Iteration 154,FALSE,black,1,1,solid,1,.,2
155,Iteration 155,FALSE,Iteration 155,FALSE,black,1,1,solid,1,.,2
156,Iteration 156,FALSE,Iteration 156,FALSE,black,1,1,solid,1,.,2
157,Iteration 157,FALSE,Iteration 157,FALSE,black,1,1,solid,1,.,2
158,Iteration 158,FALSE,Iteration 158,FALSE,black,1,1,solid,1,.,2
159,Iteration 159,FALSE,Iteration 159,FALSE,black,1,1,solid,1,.,2
